codec,crf,bytes,ratio,PSNR,SSIM,LPIPS
libx264,23,7724,2290.875194199896,40.54923964606391,0.996366016070048,
libx264,35,6189,2859.05962190984,38.56860016716851,0.9948281645774841,
libx265,23,9910,1785.5418768920283,40.740230009290904,0.9965811259216732,
libx265,35,7934,2230.239475674313,38.55991189744737,0.9934732139110565,
