it_global,loss
0,0.1852627843618393
1,0.18477016687393188
2,0.18428975343704224
3,0.18382111191749573
4,0.18336305022239685
5,0.18291571736335754
6,0.18247753381729126
7,0.1820470243692398
8,0.18162453174591064
9,0.18120691180229187
10,0.18079179525375366
11,0.1803775429725647
12,0.17996294796466827
13,0.17954617738723755
14,0.17912644147872925
15,0.17870154976844788
16,0.17827095091342926
17,0.17783397436141968
18,0.1773897409439087
19,0.17693893611431122
20,0.17648226022720337
21,0.17601913213729858
22,0.1755491942167282
23,0.17507323622703552
24,0.17459191381931305
25,0.17410440742969513
26,0.17361073195934296
27,0.17311137914657593
28,0.17260631918907166
29,0.17209585011005402
30,0.18542352318763733
31,0.1848633885383606
32,0.18430855870246887
33,0.18375933170318604
34,0.1832168996334076
35,0.18268120288848877
36,0.1821528822183609
37,0.18163156509399414
38,0.18111750483512878
39,0.1806105375289917
40,0.1801098883152008
41,0.17961551249027252
42,0.1791263222694397
43,0.17864224314689636
44,0.1781618595123291
45,0.17768403887748718
46,0.1772068291902542
47,0.1767289787530899
48,0.1762492060661316
49,0.17576567828655243
50,0.1752769947052002
51,0.17478211224079132
52,0.17427946627140045
53,0.17376834154129028
54,0.1732485443353653
55,0.17272168397903442
56,0.17218780517578125
57,0.171648308634758
58,0.1711035817861557
59,0.1705542802810669
60,0.18570992350578308
61,0.185202494263649
62,0.18470405042171478
63,0.18421438336372375
64,0.18373364210128784
65,0.18326285481452942
66,0.18280206620693207
67,0.1823517382144928
68,0.18191000819206238
69,0.1814749538898468
70,0.18104441463947296
71,0.18061630427837372
72,0.18018841743469238
73,0.1797591894865036
74,0.17932644486427307
75,0.17888900637626648
76,0.17844627797603607
77,0.17799729108810425
78,0.17754092812538147
79,0.177077978849411
80,0.176608145236969
81,0.17613157629966736
82,0.17564797401428223
83,0.17515799403190613
84,0.17466197907924652
85,0.17416024208068848
86,0.17365337908267975
87,0.17314070463180542
88,0.17262232303619385
89,0.17209841310977936
90,0.18617695569992065
91,0.18565303087234497
92,0.18514056503772736
93,0.18463894724845886
94,0.1841479241847992
95,0.18366709351539612
96,0.18319560587406158
97,0.18273168802261353
98,0.18227362632751465
99,0.18182127177715302
100,0.18137414753437042
101,0.18093112111091614
102,0.1804918497800827
103,0.18005487322807312
104,0.17961974442005157
105,0.1791853904724121
106,0.17875084280967712
107,0.17831528186798096
108,0.17787683010101318
109,0.17743408679962158
110,0.17698614299297333
111,0.17653261125087738
112,0.17607247829437256
113,0.17560558021068573
114,0.17513179779052734
115,0.17465059459209442
116,0.17416244745254517
117,0.17366725206375122
118,0.1731652021408081
119,0.1726560890674591
120,0.1851269006729126
121,0.18465059995651245
122,0.18418292701244354
123,0.1837262660264969
124,0.18327918648719788
125,0.18284094333648682
126,0.1824093461036682
127,0.18198290467262268
128,0.18156075477600098
129,0.18114197254180908
130,0.18072465062141418
131,0.1803077757358551
132,0.1798909604549408
133,0.17947329580783844
134,0.17905431985855103
135,0.17863288521766663
136,0.17820721864700317
137,0.17777712643146515
138,0.17734214663505554
139,0.17690065503120422
140,0.17645277082920074
141,0.17599859833717346
142,0.17553848028182983
143,0.17507214844226837
144,0.17459946870803833
145,0.17412033677101135
146,0.1736353039741516
147,0.17314459383487701
148,0.17264842987060547
149,0.17214587330818176
150,0.18672823905944824
151,0.1862054169178009
152,0.1856905072927475
153,0.18518537282943726
154,0.18468889594078064
155,0.1842000037431717
156,0.18371888995170593
157,0.18324440717697144
158,0.1827748417854309
159,0.18230904638767242
160,0.18184639513492584
161,0.18138734996318817
162,0.18092967569828033
163,0.1804722398519516
164,0.18001505732536316
165,0.1795577108860016
166,0.17910103499889374
167,0.17864352464675903
168,0.17818531394004822
169,0.1777261346578598
170,0.1772644817829132
171,0.17679941654205322
172,0.17633068561553955
173,0.17585718631744385
174,0.1753787100315094
175,0.17489475011825562
176,0.17440584301948547
177,0.17391198873519897
178,0.17341244220733643
179,0.17290717363357544
180,0.1865633726119995
181,0.18599939346313477
182,0.18544331192970276
183,0.1848968118429184
184,0.18435907363891602
185,0.18383008241653442
186,0.18331074714660645
187,0.18280181288719177
188,0.1823023408651352
189,0.18181326985359192
190,0.18133442103862762
191,0.18086402118206024
192,0.18039928376674652
193,0.17993786931037903
194,0.17947924137115479
195,0.17902211844921112
196,0.17856493592262268
197,0.17810562252998352
198,0.17764344811439514
199,0.17717677354812622
200,0.1767055243253708
201,0.17622962594032288
202,0.1757485270500183
203,0.1752617061138153
204,0.1747686117887497
205,0.17426946759223938
206,0.1737648993730545
207,0.17325517535209656
208,0.17274045944213867
209,0.17222055792808533
210,0.18508446216583252
211,0.18454614281654358
212,0.1840190589427948
213,0.18350332975387573
214,0.18300020694732666
215,0.182510644197464
216,0.1820337027311325
217,0.18156935274600983
218,0.18111461400985718
219,0.18066740036010742
220,0.18022587895393372
221,0.17978760600090027
222,0.1793510466814041
223,0.17891450226306915
224,0.17847710847854614
225,0.1780368685722351
226,0.17759281396865845
227,0.17714270949363708
228,0.176687091588974
229,0.17622493207454681
230,0.17575697600841522
231,0.17528243362903595
232,0.17480134963989258
233,0.17431440949440002
234,0.1738218069076538
235,0.1733240783214569
236,0.17282134294509888
237,0.17231352627277374
238,0.1718006283044815
239,0.17128191888332367
240,0.18517912924289703
241,0.18463993072509766
242,0.1841105818748474
243,0.18358877301216125
244,0.1830746829509735
245,0.1825695037841797
246,0.18207311630249023
247,0.18158575892448425
248,0.18110685050487518
249,0.18063510954380035
250,0.18016818165779114
251,0.1797039657831192
252,0.17923972010612488
253,0.17877376079559326
254,0.17830520868301392
255,0.1778322458267212
256,0.17735536396503448
257,0.1768740713596344
258,0.17638888955116272
259,0.1758994460105896
260,0.1754056215286255
261,0.174908846616745
262,0.1744089424610138
263,0.173905149102211
264,0.1733967363834381
265,0.17288443446159363
266,0.17236724495887756
267,0.17184476554393768
268,0.17131736874580383
269,0.17078354954719543
270,0.185577392578125
271,0.18506601452827454
272,0.18456360697746277
273,0.18407028913497925
274,0.18358789384365082
275,0.18311485648155212
276,0.18265092372894287
277,0.1821964979171753
278,0.18175002932548523
279,0.18131116032600403
280,0.18087729811668396
281,0.1804465651512146
282,0.18001842498779297
283,0.17959155142307281
284,0.17916494607925415
285,0.178737610578537
286,0.17830906808376312
287,0.17787832021713257
288,0.1774442195892334
289,0.17700687050819397
290,0.17656534910202026
291,0.1761193722486496
292,0.17566871643066406
293,0.1752128303050995
294,0.1747508943080902
295,0.17428258061408997
296,0.17380762100219727
297,0.17332664132118225
298,0.17283934354782104
299,0.17234595119953156
300,0.184683695435524
301,0.18421420454978943
302,0.18375715613365173
303,0.18331241607666016
304,0.18287794291973114
305,0.18245264887809753
306,0.18203571438789368
307,0.181625634431839
