frame_idx,PSNR,SSIM,LPIPS
0,17.70290756225586,0.19074647128582,
1,17.970144271850586,0.19459103047847748,
2,17.426179885864258,0.19696354866027832,
3,17.67887306213379,0.1885860413312912,
4,17.441303253173828,0.19588911533355713,
5,17.848896026611328,0.18325281143188477,
6,17.708894729614258,0.19082903861999512,
7,17.685192108154297,0.19570522010326385,
8,18.068416595458984,0.19168035686016083,
9,17.43682098388672,0.1939696967601776,
10,17.4351806640625,0.1962348222732544,
11,17.87174415588379,0.1923491358757019,
12,17.433351516723633,0.19627788662910461,
13,17.503908157348633,0.19826310873031616,
14,17.79141616821289,0.19754227995872498,
15,18.133176803588867,0.19373556971549988,
16,17.40988540649414,0.19363045692443848,
17,17.620941162109375,0.1866643875837326,
18,17.791597366333008,0.19437110424041748,
19,17.42540168762207,0.1953904628753662,
20,17.4718074798584,0.19843029975891113,
21,17.64703941345215,0.19057588279247284,
22,17.47510528564453,0.18594416975975037,
23,17.447172164916992,0.1791013926267624,
24,17.62435531616211,0.1875040978193283,
25,17.593090057373047,0.19065716862678528,
26,17.859256744384766,0.19216559827327728,
27,17.425466537475586,0.188834547996521,
28,17.74854278564453,0.19429640471935272,
29,17.392269134521484,0.19085893034934998,
30,17.438722610473633,0.1942884922027588,
31,17.431711196899414,0.19290708005428314,
32,17.44423484802246,0.19506770372390747,
33,17.588376998901367,0.18610844016075134,
34,17.799379348754883,0.18867310881614685,
35,17.583377838134766,0.19682131707668304,
36,18.011577606201172,0.18962416052818298,
37,17.73982810974121,0.1905866265296936,
38,17.454120635986328,0.19804394245147705,
39,17.37187957763672,0.18492883443832397,
40,17.9080753326416,0.20194950699806213,
41,17.405994415283203,0.18871979415416718,
42,17.4569034576416,0.18629130721092224,
43,17.72506332397461,0.19390568137168884,
44,17.549936294555664,0.1822463721036911,
45,18.195796966552734,0.19262389838695526,
46,17.489721298217773,0.1857900619506836,
47,17.486129760742188,0.20397131145000458,
48,17.671762466430664,0.1976240873336792,
49,17.378360748291016,0.1884886622428894,
50,17.378070831298828,0.18712493777275085,
51,17.389951705932617,0.18917308747768402,
52,17.843082427978516,0.19271676242351532,
53,17.60317039489746,0.19173769652843475,
54,17.43439292907715,0.1972312182188034,
55,17.684267044067383,0.19434544444084167,
56,17.445384979248047,0.19833573698997498,
57,17.64604377746582,0.1889830082654953,
58,17.42169189453125,0.19215965270996094,
59,17.765247344970703,0.2012677639722824,
60,17.415822982788086,0.19289050996303558,
61,17.463634490966797,0.1999872922897339,
62,17.387386322021484,0.19001150131225586,
63,17.417512893676758,0.1942649781703949,
64,18.270259857177734,0.19859597086906433,
65,17.61823272705078,0.19859111309051514,
66,17.366867065429688,0.18758869171142578,
67,17.45820426940918,0.20010654628276825,
68,17.502756118774414,0.20754894614219666,
69,17.57008934020996,0.19036881625652313,
70,17.879314422607422,0.1925198882818222,
71,17.44651222229004,0.19886565208435059,
72,17.470458984375,0.2019563615322113,
73,18.070716857910156,0.19343963265419006,
74,17.55280113220215,0.1962520331144333,
75,17.681507110595703,0.1911376416683197,
76,17.542449951171875,0.1909215897321701,
77,17.440250396728516,0.19171516597270966,
78,17.59931182861328,0.18081650137901306,
79,17.430910110473633,0.1956634521484375,
80,17.423139572143555,0.19772017002105713,
81,18.11978530883789,0.1955360770225525,
82,17.741214752197266,0.19600296020507812,
83,17.771360397338867,0.19331011176109314,
84,17.92015266418457,0.19281575083732605,
85,17.66351890563965,0.19806432723999023,
86,17.342470169067383,0.18124935030937195,
87,17.42377471923828,0.1923593133687973,
88,17.487951278686523,0.20446912944316864,
89,17.643613815307617,0.1981438845396042,
