iteracion,loss
0,0.15948835015296936
1,0.15736883878707886
2,0.15675324201583862
3,0.1555628478527069
4,0.15300443768501282
5,0.15061461925506592
6,0.14836034178733826
7,0.15003301203250885
8,0.14745721220970154
9,0.14210745692253113
10,0.14303234219551086
11,0.14578457176685333
12,0.13809721171855927
13,0.13971078395843506
14,0.13538618385791779
15,0.14011657238006592
16,0.13482707738876343
17,0.1316097378730774
18,0.13282355666160583
19,0.1299605667591095
20,0.1317887008190155
21,0.13319721817970276
22,0.12637443840503693
23,0.12936931848526
24,0.12312929332256317
25,0.1307058036327362
26,0.1298740953207016
27,0.1290552020072937
28,0.12411808967590332
29,0.12572599947452545
30,0.1254933774471283
31,0.12212826311588287
32,0.12122794985771179
33,0.11358512938022614
34,0.11490392684936523
35,0.11635734140872955
36,0.11620545387268066
37,0.1094805970788002
38,0.1080707386136055
39,0.11285927891731262
40,0.10680915415287018
41,0.11353880912065506
42,0.10778160393238068
43,0.10622863471508026
44,0.10167993605136871
45,0.10147498548030853
46,0.10562416911125183
47,0.1086953729391098
48,0.09627479314804077
49,0.09745455533266068
50,0.09982839226722717
51,0.10279721766710281
52,0.10135427862405777
53,0.10022278130054474
54,0.09743908792734146
55,0.09006039798259735
56,0.08794978260993958
57,0.09402881562709808
58,0.08561325073242188
59,0.08546540886163712
60,0.08304111659526825
61,0.08613789826631546
62,0.08681420981884003
63,0.0806666910648346
64,0.08959394693374634
65,0.0793418288230896
66,0.07964195311069489
67,0.0838254764676094
68,0.07409954816102982
69,0.07302892208099365
70,0.07852016389369965
71,0.07965713739395142
72,0.07231641560792923
73,0.07008812576532364
74,0.08131764829158783
75,0.07023018598556519
76,0.07585504651069641
77,0.06614450365304947
78,0.07215246558189392
79,0.06410183012485504
80,0.06585466861724854
81,0.0637151300907135
82,0.05972374975681305
83,0.06799100339412689
84,0.06186262518167496
85,0.061399899423122406
86,0.06457659602165222
87,0.059763625264167786
88,0.05690253525972366
89,0.058176279067993164
90,0.05418461188673973
91,0.05172666162252426
92,0.053823478519916534
93,0.04976052790880203
94,0.048333585262298584
95,0.04744520038366318
96,0.04645828157663345
97,0.04719812422990799
98,0.04965478181838989
99,0.04793913662433624
100,0.04177283123135567
101,0.058062124997377396
102,0.049605317413806915
103,0.054951608180999756
104,0.03907855600118637
105,0.04040861874818802
106,0.0407082661986351
107,0.04160818085074425
108,0.043060481548309326
109,0.03779520094394684
110,0.04391082376241684
111,0.036312125623226166
112,0.03568142652511597
113,0.042218390852212906
114,0.03398279473185539
115,0.03722789138555527
116,0.03891634941101074
117,0.03746858984231949
118,0.03701353818178177
119,0.03835971653461456
120,0.030633296817541122
121,0.03208192437887192
122,0.03767108917236328
123,0.02915867418050766
124,0.031862009316682816
125,0.03144482150673866
126,0.028858892619609833
127,0.02716270089149475
128,0.0370110459625721
129,0.02706923335790634
130,0.03622761368751526
131,0.035223089158535004
132,0.03021368384361267
133,0.027186274528503418
134,0.031120002269744873
135,0.024492882192134857
136,0.02813912183046341
137,0.027310555800795555
138,0.03239545598626137
139,0.02436855062842369
140,0.02920364774763584
141,0.030711062252521515
142,0.02360670454800129
143,0.0247417613863945
144,0.02529115602374077
145,0.023945961147546768
146,0.02561345137655735
147,0.02748081088066101
148,0.023256491869688034
149,0.02649814262986183
150,0.02306225150823593
151,0.022072920575737953
152,0.021390317007899284
153,0.020286014303565025
154,0.023775212466716766
155,0.020018795505166054
156,0.01968982070684433
157,0.02306557632982731
158,0.018603086471557617
159,0.019188176840543747
160,0.0179861132055521
161,0.019515840336680412
162,0.022414807230234146
163,0.01719910465180874
164,0.017898626625537872
165,0.022969486191868782
166,0.016599178314208984
167,0.01809435524046421
168,0.017688630148768425
169,0.022182578220963478
170,0.016350170597434044
171,0.017023179680109024
172,0.017949990928173065
173,0.016693823039531708
174,0.015434013679623604
175,0.015916697680950165
176,0.01722596026957035
177,0.01632356457412243
178,0.016712728887796402
179,0.017798256129026413
180,0.015679437667131424
181,0.016229484230279922
182,0.016640910878777504
183,0.015291395597159863
184,0.015178502537310123
185,0.017246419563889503
186,0.014944901689887047
187,0.019000794738531113
188,0.016373928636312485
189,0.015400970354676247
190,0.01603838801383972
191,0.01593075692653656
192,0.016083234921097755
193,0.016207631677389145
194,0.014936571940779686
195,0.014640110544860363
196,0.0162152461707592
197,0.014840562827885151
198,0.013864397071301937
199,0.013794017024338245
