frame_idx,PSNR,SSIM,LPIPS
0,24.42953109741211,0.9642660617828369,
1,24.42094612121582,0.9644328951835632,
2,24.42005157470703,0.9646989703178406,
3,24.421463012695312,0.965035080909729,
4,24.419944763183594,0.9653555750846863,
5,24.31757926940918,0.9654021263122559,
6,24.389236450195312,0.965848445892334,
7,24.358871459960938,0.9659899473190308,
8,24.3393497467041,0.9661523699760437,
9,24.315093994140625,0.9662741422653198,
10,24.326894760131836,0.9665595889091492,
11,24.337739944458008,0.9668445587158203,
12,24.370363235473633,0.9672486186027527,
13,24.41327667236328,0.9677110910415649,
14,24.460723876953125,0.9681670069694519,
15,24.5169734954834,0.9686206579208374,
16,24.541969299316406,0.968880832195282,
17,24.549715042114258,0.9690114855766296,
18,24.5487060546875,0.9691019058227539,
19,24.543359756469727,0.9691681265830994,
20,24.544706344604492,0.9692975878715515,
21,24.562158584594727,0.9695694446563721,
22,24.586084365844727,0.9698930978775024,
23,24.62030029296875,0.9702638387680054,
24,24.646202087402344,0.9705599546432495,
25,24.66752815246582,0.9708091020584106,
26,24.669326782226562,0.9709558486938477,
27,24.6527099609375,0.970981240272522,
28,24.629589080810547,0.9709591865539551,
29,24.596729278564453,0.9708659052848816,
30,24.566139221191406,0.9708071947097778,
31,24.552536010742188,0.9709008932113647,
32,24.552762985229492,0.9710848331451416,
33,24.566028594970703,0.9713643789291382,
34,24.578582763671875,0.9716088175773621,
35,24.589078903198242,0.9718214869499207,
36,24.58804702758789,0.9719197154045105,
37,24.573089599609375,0.9718901515007019,
38,24.560823440551758,0.9718689322471619,
39,24.54578399658203,0.9718033075332642,
40,24.55430793762207,0.9719077348709106,
41,24.565937042236328,0.9720222353935242,
42,24.588817596435547,0.9722234606742859,
43,24.622018814086914,0.9724938273429871,
44,24.651988983154297,0.9727976322174072,
45,24.684097290039062,0.9734631776809692,
46,24.691444396972656,0.9744018316268921,
47,24.72824478149414,0.9748681783676147,
48,24.69343376159668,0.9740452170372009,
49,24.684724807739258,0.9740759134292603,
50,24.667804718017578,0.9745359420776367,
51,24.67333221435547,0.9740400314331055,
52,24.674728393554688,0.9737879633903503,
53,24.67363166809082,0.9736639857292175,
54,24.67205810546875,0.9736291170120239,
55,24.568279266357422,0.9733549952507019,
56,24.663782119750977,0.9736077189445496,
57,24.661176681518555,0.9736210107803345,
58,24.656982421875,0.9736136198043823,
59,24.64899444580078,0.9735732078552246,
60,24.63160514831543,0.9734674692153931,
61,24.6146297454834,0.973340630531311,
62,24.593067169189453,0.9731433391571045,
63,24.581974029541016,0.9729976058006287,
64,24.583208084106445,0.9729084968566895,
65,24.60070037841797,0.9729322195053101,
66,24.640466690063477,0.9731239080429077,
67,24.678939819335938,0.9733152389526367,
68,24.72484588623047,0.9735430479049683,
69,24.748804092407227,0.9736144542694092,
70,24.755382537841797,0.973554790019989,
71,24.740737915039062,0.9733610153198242,
72,24.705476760864258,0.9730256795883179,
73,24.671266555786133,0.9727013111114502,
74,24.632808685302734,0.9723473787307739,
75,24.61227798461914,0.9721182584762573,
76,24.607894897460938,0.9720120429992676,
77,24.619104385375977,0.9719893336296082,
78,24.64409637451172,0.9720286130905151,
79,24.669391632080078,0.9720128774642944,
80,24.70262336730957,0.9720034599304199,
81,24.717361450195312,0.9718868136405945,
82,24.71795654296875,0.9716776609420776,
83,24.708534240722656,0.9713900089263916,
84,24.680824279785156,0.9709779024124146,
85,24.655874252319336,0.9706195592880249,
86,24.61916732788086,0.97020423412323,
87,24.593490600585938,0.9698502421379089,
88,24.568479537963867,0.9694877862930298,
89,24.55076026916504,0.9691487550735474,
