iteracion,loss
0,0.14018207788467407
1,0.13077455759048462
2,0.13287650048732758
3,0.13026635348796844
4,0.12143468856811523
5,0.10679785162210464
6,0.10015510022640228
7,0.11480915546417236
8,0.10302434116601944
9,0.08702884614467621
10,0.08777467906475067
11,0.10721910744905472
12,0.0779062956571579
13,0.07955153286457062
14,0.07107433676719666
15,0.09220120310783386
16,0.06641949713230133
17,0.06030075252056122
18,0.06447236239910126
19,0.052616190165281296
20,0.06539434939622879
21,0.07964971661567688
22,0.04551103711128235
23,0.06548984348773956
24,0.039034996181726456
25,0.07992476969957352
26,0.07918944209814072
27,0.078483447432518
28,0.05948229879140854
29,0.0698695108294487
30,0.07108133286237717
31,0.05884365737438202
32,0.0596812441945076
33,0.02980751171708107
34,0.037752412259578705
35,0.048939451575279236
36,0.05070536211133003
37,0.027869397774338722
38,0.02515995502471924
39,0.046127911657094955
40,0.029210291802883148
41,0.05471384525299072
42,0.03881536051630974
43,0.03646599128842354
44,0.025326967239379883
45,0.02614521235227585
46,0.043406613171100616
47,0.053690105676651
48,0.02007199451327324
49,0.02533680573105812
50,0.03510856628417969
51,0.04670310765504837
52,0.04504835978150368
53,0.04466601833701134
54,0.04001755639910698
55,0.020355064421892166
56,0.01824916899204254
57,0.03783160820603371
58,0.0180660430341959
59,0.018417345359921455
60,0.016088947653770447
61,0.02659914270043373
62,0.03166954964399338
63,0.016280166804790497
64,0.04122048616409302
65,0.01958821713924408
66,0.02268105559051037
67,0.03338756412267685
68,0.014165880158543587
69,0.013758637942373753
70,0.028562787920236588
71,0.03173704445362091
72,0.019137434661388397
73,0.015621212311089039
74,0.02243630960583687
75,0.020564168691635132
76,0.032773591578006744
77,0.01713866926729679
78,0.0289112851023674
79,0.015864253044128418
80,0.020989494398236275
81,0.017629245296120644
82,0.013263372704386711
83,0.029948370531201363
84,0.02076590433716774
85,0.02147495374083519
86,0.015101599507033825
87,0.021684011444449425
88,0.013074548915028572
89,0.01287923101335764
90,0.012207363732159138
91,0.012075379490852356
92,0.012655510567128658
93,0.01142162922769785
94,0.011032536625862122
95,0.01077999547123909
96,0.010613908991217613
97,0.011207716539502144
98,0.01277113612741232
99,0.012207375839352608
100,0.010836910456418991
101,0.02535080537199974
102,0.015997732058167458
103,0.02420036867260933
104,0.011147062294185162
105,0.010664092376828194
106,0.011099960654973984
107,0.01268661767244339
108,0.015722759068012238
109,0.010617295280098915
110,0.018881523981690407
111,0.009611662477254868
112,0.00944123137742281
113,0.010938587598502636
114,0.009508529677987099
115,0.013707886449992657
116,0.016160836443305016
117,0.011853665113449097
118,0.010178755968809128
119,0.016425680369138718
120,0.011409136466681957
121,0.01239442452788353
122,0.01628652773797512
123,0.010297869332134724
124,0.011455929838120937
125,0.01139744184911251
126,0.011105554178357124
127,0.00923396460711956
128,0.018621865659952164
129,0.012623143382370472
130,0.019137511029839516
131,0.018483778461813927
132,0.01130297128111124
133,0.010682422667741776
134,0.01564057730138302
135,0.01200493611395359
136,0.013123061507940292
137,0.01243798341602087
138,0.020161105319857597
139,0.010073086246848106
140,0.01578453928232193
141,0.020101968199014664
142,0.012238862924277782
143,0.013896080665290356
144,0.013375919312238693
145,0.012107017450034618
146,0.013414444401860237
147,0.01624663732945919
148,0.012186652980744839
149,0.0165791604667902
150,0.02131488546729088
151,0.011790800839662552
152,0.011127096600830555
153,0.010880065150558949
154,0.014619464054703712
155,0.011781622655689716
156,0.011481080204248428
157,0.01455877348780632
158,0.010366720147430897
159,0.010328673757612705
160,0.010410688817501068
161,0.01261317078024149
162,0.013473521918058395
163,0.009835549630224705
164,0.011285808868706226
165,0.014599955640733242
166,0.009920017793774605
167,0.009669304825365543
168,0.009388395585119724
169,0.01518985629081726
170,0.009597355499863625
171,0.009383699856698513
172,0.009754786267876625
173,0.009280609898269176
174,0.009177056141197681
175,0.009349877014756203
176,0.01006034854799509
177,0.009211639873683453
178,0.011428778059780598
179,0.011339433491230011
180,0.00934961624443531
181,0.009918971918523312
182,0.009681017138063908
183,0.00871875137090683
184,0.00877704843878746
185,0.012150567024946213
186,0.00947523768991232
187,0.015988463535904884
188,0.01199951022863388
189,0.009900972247123718
190,0.010307785123586655
191,0.01207115687429905
192,0.012575792148709297
193,0.013056373223662376
194,0.011046623811125755
195,0.00982879102230072
196,0.009773347526788712
197,0.008524618111550808
198,0.008895032107830048
199,0.009345208294689655
200,0.011492679826915264
201,0.011708464473485947
202,0.009276166558265686
203,0.009249063208699226
204,0.009427102282643318
