iteracion,loss
0,0.15811815857887268
1,0.15378695726394653
2,0.1477876901626587
3,0.1456567943096161
4,0.13547740876674652
5,0.1411944031715393
6,0.12913057208061218
7,0.1239904910326004
8,0.1211157888174057
9,0.12838783860206604
10,0.12334282696247101
11,0.11729930341243744
12,0.10682490468025208
13,0.11160030215978622
14,0.10959315299987793
15,0.10690736025571823
16,0.1138683557510376
17,0.1106828898191452
18,0.11212117969989777
19,0.0986163318157196
20,0.09698586165904999
21,0.09287257492542267
22,0.10433296114206314
23,0.09610643982887268
24,0.09851018339395523
25,0.09772148728370667
26,0.09269008040428162
27,0.09523215889930725
28,0.08752413094043732
29,0.09208684414625168
30,0.08298313617706299
31,0.08725009113550186
32,0.08841514587402344
33,0.08980828523635864
34,0.0876031368970871
35,0.08271138370037079
36,0.08181826025247574
37,0.07522955536842346
38,0.0798177644610405
39,0.08146320283412933
40,0.08490729331970215
41,0.08071036636829376
42,0.07930268347263336
43,0.07232179492712021
44,0.06930532306432724
45,0.08136089891195297
46,0.06732694804668427
47,0.06983466446399689
48,0.07096771895885468
49,0.06763923168182373
50,0.07147181034088135
51,0.06438935548067093
52,0.06141746789216995
53,0.06001265347003937
54,0.06796576082706451
55,0.06294549256563187
56,0.06038018688559532
57,0.07145404815673828
58,0.06758277863264084
59,0.054981715977191925
60,0.06489137560129166
61,0.054001107811927795
62,0.05412333458662033
63,0.06453939527273178
64,0.05272446945309639
65,0.06272368133068085
66,0.06493409723043442
67,0.0625743642449379
68,0.05866500362753868
69,0.049219273030757904
70,0.05950400233268738
71,0.05574364215135574
72,0.055054351687431335
73,0.053003136068582535
74,0.057990364730358124
75,0.05922064557671547
76,0.05632299184799194
77,0.048281215131282806
78,0.04890250042080879
79,0.05556527152657509
80,0.05504285916686058
81,0.055062469094991684
82,0.045697733759880066
83,0.05493941530585289
84,0.0503632053732872
85,0.05572877451777458
86,0.048831019550561905
87,0.050264351069927216
88,0.05323493480682373
89,0.04933261126279831
90,0.04783693701028824
91,0.046535421162843704
92,0.04543684422969818
93,0.04766504094004631
94,0.04845590516924858
95,0.04522097110748291
96,0.0460522323846817
97,0.04652351140975952
98,0.046424321830272675
99,0.04741612821817398
100,0.04733039066195488
101,0.04583385959267616
102,0.041311491280794144
103,0.04522204399108887
104,0.045875150710344315
105,0.04440275579690933
106,0.043457020074129105
107,0.040605247020721436
108,0.04373832792043686
109,0.04437790438532829
110,0.044965751469135284
111,0.04251059144735336
112,0.04158289358019829
113,0.04296322911977768
114,0.043355442583560944
115,0.04298952966928482
116,0.03853319585323334
117,0.04263485223054886
118,0.041438765823841095
119,0.03796910494565964
120,0.04182574898004532
121,0.04157935082912445
122,0.04274266958236694
123,0.03847499191761017
124,0.035502657294273376
125,0.041899245232343674
126,0.04255765676498413
127,0.03779779002070427
128,0.04149450361728668
129,0.043375685811042786
130,0.040863439440727234
131,0.039678413420915604
132,0.04223136976361275
133,0.037960562855005264
134,0.04113069176673889
135,0.03503212332725525
136,0.040817148983478546
137,0.04078250378370285
138,0.039655860513448715
139,0.03950396180152893
140,0.0338565967977047
141,0.04131922125816345
